ubigeo,ano,semana,p_fal,p_vivax,date
160101,2018,21,7,25,2018-05-21
160101,2018,22,8,26,2018-05-28
160101,2018,23,3,18,2018-06-04
160101,2018,24,6,25,2018-06-11
160101,2018,25,6,9,2018-06-18
160101,2018,26,4,17,2018-06-25
160101,2018,27,8,23,2018-07-02
160101,2018,28,7,18,2018-07-09
160101,2018,29,13,31,2018-07-16
160101,2018,30,4,19,2018-07-23
160101,2018,31,2,10,2018-07-30
160101,2018,32,4,17,2018-08-06
160101,2018,33,4,20,2018-08-13
160101,2018,34,6,18,2018-08-20
160101,2018,35,0,9,2018-08-27
160101,2018,36,1,18,2018-09-03
160101,2018,37,3,22,2018-09-10
160101,2018,38,1,11,2018-09-17
160101,2018,39,1,18,2018-09-24
160101,2018,40,2,14,2018-10-01
160101,2018,41,3,13,2018-10-08
160101,2018,42,0,15,2018-10-15
160101,2018,43,1,12,2018-10-22
160101,2018,44,4,14,2018-10-29
160101,2018,45,2,12,2018-11-05
160101,2018,46,1,15,2018-11-12
160101,2018,47,3,6,2018-11-19
160101,2018,48,0,13,2018-11-26
160101,2018,49,5,7,2018-12-03
160101,2018,50,8,6,2018-12-10
160101,2018,51,4,13,2018-12-17
160101,2018,52,6,8,2018-12-24
160101,2019,1,4,8,2019-01-07
160101,2019,2,7,26,2019-01-14
160101,2019,3,4,16,2019-01-21
160101,2019,4,2,16,2019-01-28
160101,2019,5,10,20,2019-02-04
160101,2019,6,7,22,2019-02-11
160101,2019,7,7,7,2019-02-18
160101,2019,8,5,10,2019-02-25
160101,2019,9,12,20,2019-03-04
160101,2019,10,3,24,2019-03-11
160101,2019,11,0,7,2019-03-18
160101,2019,12,1,5,2019-03-25
160101,2019,13,1,2,2019-04-01
160101,2019,14,0,19,2019-04-08
160101,2019,15,4,12,2019-04-15
160101,2019,16,1,18,2019-04-22
160101,2019,17,4,17,2019-04-29
160101,2019,18,4,19,2019-05-06
160101,2019,19,0,17,2019-05-13
160101,2019,20,3,12,2019-05-20
160101,2019,21,2,14,2019-05-27
160101,2019,22,1,10,2019-06-03
160101,2019,23,7,20,2019-06-10
160101,2019,24,0,23,2019-06-17
160101,2019,25,1,8,2019-06-24
160101,2019,26,0,11,2019-07-01
160101,2019,27,2,20,2019-07-08
160101,2019,28,1,29,2019-07-15
160101,2019,29,1,9,2019-07-22
160101,2019,30,0,4,2019-07-29
160101,2019,31,0,9,2019-08-05
160101,2019,32,0,10,2019-08-12
160101,2019,33,1,14,2019-08-19
160101,2019,34,0,10,2019-08-26
160101,2019,35,0,7,2019-09-02
160101,2019,36,0,9,2019-09-09
